#options: 640x360 fps=2500000/104271 timebase=104271/2500000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=23 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=980 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:27.52 tex:25410 mv:10002 misc:116 imb:920 pmb:0 smb:0 d:- ref:;
in:2 out:1 type:P dur:2 cpbdur:2 q:27.52 tex:1630 mv:628 misc:798 imb:22 pmb:210 smb:688 d:- ref:0 ;
in:1 out:2 type:b dur:2 cpbdur:2 q:27.52 tex:1030 mv:198 misc:596 imb:1 pmb:131 smb:788 d:- ref:0 ;
in:3 out:3 type:P dur:2 cpbdur:2 q:27.52 tex:7450 mv:3978 misc:244 imb:802 pmb:39 smb:79 d:- ref:0 ;
in:4 out:4 type:P dur:2 cpbdur:2 q:27.52 tex:832 mv:536 misc:792 imb:225 pmb:74 smb:621 d:- ref:0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:27.52 tex:9707 mv:4323 misc:458 imb:278 pmb:171 smb:471 d:- ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:26.91 tex:8097 mv:3746 misc:757 imb:242 pmb:208 smb:470 d:- ref:0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:23.58 tex:32526 mv:7007 misc:315 imb:565 pmb:167 smb:188 d:- ref:0 ;
in:8 out:8 type:i dur:2 cpbdur:2 q:24.24 tex:37927 mv:18460 misc:133 imb:920 pmb:0 smb:0 d:- ref:;
in:9 out:9 type:P dur:2 cpbdur:2 q:20.20 tex:77350 mv:8836 misc:366 imb:309 pmb:481 smb:130 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:18.64 tex:149194 mv:9394 misc:284 imb:425 pmb:429 smb:66 d:- ref:0 ;
in:11 out:11 type:P dur:2 cpbdur:2 q:18.40 tex:190419 mv:9501 misc:288 imb:483 pmb:384 smb:53 d:- ref:0 ;
